Scas_441.3	s441	W
Scas_444.1	s444	C
Scas_444.2	s444	C
Scas_444.3	s444	C
Scas_444.4	s444	C
Scas_448.1	s448	C
Scas_448.2	s448	C
Scas_451.1	s451	W
Scas_452.1	s452	W
Scas_453.0d	s453	W
Scas_453.1	s453	C
Scas_453.2	s453	W
Scas_453.2d	s453	C
Scas_455.1	s455	C
Scas_455.2	s455	C
Scas_457.1	s457	W
Scas_457.2	s457	C
Scas_458.0d	s458	C
Scas_458.1	s458	W
Scas_458.2	s458	C
Scas_458.3	s458	C
Scas_458.4	s458	W
Scas_458.5	s458	W
Scas_459.1	s459	W
Scas_459.2	s459	C
Scas_459.3	s459	W
Scas_462.1	s462	C
Scas_465.1	s465	W
Scas_465.2	s465	C
Scas_465.3	s465	W
Scas_465.4	s465	W
Scas_466.1d	s466	C
Scas_467.1	s467	W
Scas_467.2	s467	C
Scas_467.3	s467	C
Scas_471.1	s471	C
Scas_471.2	s471	C
Scas_471.3	s471	C
Scas_471.4	s471	C
Scas_471.5	s471	W
Scas_472.1	s472	W
Scas_472.2	s472	W
Scas_472.3	s472	C
Scas_472.4	s472	C
Scas_472.6	s472	W
Scas_472.7	s472	C
Scas_473.0d	s473	W
Scas_473.1	s473	W
Scas_474.1	s474	W
Scas_474.2	s474	C
Scas_474.3	s474	W
Scas_474.4	s474	W
Scas_474.5	s474	W
Scas_474.6	s474	C
Scas_474.7	s474	C
Scas_476.1	s476	C
Scas_476.2	s476	C
Scas_476.4	s476	W
Scas_476.5	s476	W
Scas_478.1	s478	W
Scas_478.2	s478	W
Scas_478.3	s478	C
Scas_478.4	s478	C
Scas_478.5	s478	C
Scas_478.6	s478	W
Scas_485.1	s485	W
Scas_485.2	s485	C
Scas_485.3	s485	W
Scas_485.3d	s485	W
Scas_485.4	s485	W
Scas_488.1	s488	C
Scas_488.2	s488	W
Scas_488.3	s488	W
Scas_488.4	s488	C
Scas_488.5	s488	W
Scas_489.1	s489	C
Scas_489.2	s489	W
Scas_489.3	s489	W
Scas_489.4	s489	W
Scas_489.5	s489	C
Scas_489.6	s489	C
Scas_490.1	s490	C
Scas_490.2	s490	C
Scas_490.3	s490	W
Scas_490.3d	s490	C
Scas_490.4	s490	C
Scas_491.1	s491	C
Scas_491.2	s491	C
Scas_491.3	s491	W
Scas_491.4	s491	W
Scas_491.5	s491	C
Scas_491.6	s491	C
Scas_491.7	s491	W
Scas_493.1	s493	W
Scas_493.2	s493	W
Scas_493.3	s493	W
Scas_493.4	s493	C
Scas_493.4d	s493	C
Scas_495.1	s495	W
Scas_495.2	s495	C
Scas_495.3	s495	W
Scas_495.4	s495	C
Scas_495.4d	s495	W
Scas_495.5	s495	C
Scas_497.1	s497	C
Scas_497.2	s497	W
Scas_497.3	s497	W
Scas_497.4	s497	C
Scas_499.1	s499	W
Scas_499.1d	s499	C
Scas_499.2	s499	W
Scas_499.3	s499	W
Scas_502.1	s502	C
Scas_502.2	s502	W
Scas_502.3	s502	C
Scas_502.4	s502	C
Scas_504.1	s504	W
Scas_506.1	s506	W
Scas_506.2	s506	C
Scas_506.3	s506	C
Scas_506.4	s506	C
Scas_506.5	s506	C
Scas_506.6	s506	W
Scas_508.1	s508	W
Scas_508.2	s508	C
Scas_508.3	s508	W
Scas_509.1	s509	C
Scas_509.2	s509	W
Scas_510.0d	s510	W
Scas_510.1	s510	C
Scas_510.2	s510	W
Scas_510.3	s510	W
Scas_510.4	s510	W
Scas_510.5	s510	W
Scas_510.6	s510	C
Scas_517.1	s517	W
Scas_517.1d	s517	W
Scas_517.1d1	s517	C
Scas_517.2	s517	C
Scas_517.3	s517	W
Scas_518.1	s518	W
Scas_518.2	s518	C
Scas_518.3	s518	W
Scas_518.3d	s518	W
Scas_518.4	s518	W
Scas_518.5	s518	C
Scas_518.6	s518	W
Scas_519.0d	s519	C
Scas_519.1	s519	C
Scas_519.2	s519	C
Scas_519.3	s519	W
Scas_519.4	s519	C
Scas_519.5	s519	C
Scas_519.6	s519	W
Scas_519.7	s519	C
Scas_519.8	s519	C
Scas_520.1	s520	C
Scas_520.1d	s520	W
Scas_520.2	s520	W
Scas_520.3	s520	C
Scas_520.4	s520	C
Scas_520.5	s520	W
Scas_523.1	s523	C
Scas_525.1	s525	W
Scas_525.2	s525	C
Scas_525.3	s525	C
Scas_525.4	s525	W
Scas_525.5	s525	W
Scas_527.1	s527	C
Scas_527.2	s527	C
Scas_527.3	s527	C
Scas_527.4	s527	W
Scas_527.5	s527	W
Scas_528.1	s528	C
Scas_528.2	s528	C
Scas_528.3	s528	W
Scas_528.4	s528	W
Scas_528.5	s528	W
Scas_528.6	s528	W
Scas_528.7	s528	C
Scas_529.1	s529	W
Scas_532.1	s532	W
Scas_532.2	s532	W
Scas_532.3	s532	W
Scas_532.4	s532	W
Scas_532.5	s532	W
Scas_532.6	s532	C
Scas_532.7	s532	C
Scas_532.8	s532	C
Scas_532.9	s532	W
Scas_532.10	s532	C
Scas_534.1	s534	C
Scas_534.2	s534	C
Scas_534.3	s534	W
